libxmu 1.1.3-2
libxpm 3.5.13-2
libxrandr 1.5.2-3
libxrender 0.9.10-4
libxshmfence 1.3-2
libxslt 1.1.34-3
libxss 1.2.3-3
libxt 1.2.0-2
libxtst 1.2.3-4
libxv 1.0.11-4
libxvmc 1.0.12-3
libxxf86vm 1.1.4-4
libzip 1.6.1-2
licenses 20200427-1
linux 5.6.14.arch1-1
linux-api-headers 5.6.11-1
linux-firmware 20200421.78c0348-1
linux-headers 5.6.14.arch1-1
linux-lts 5.4.42-1
linux-lts-headers 5.4.42-1
llvm-libs 10.0.0-2
lm_sensors 3.6.0-2
lmdb 0.9.25-1
lshw B.02.19.2-1
lua 5.3.5-3
lua52 5.2.4-5
lvm2 2.02.187-2
lz4 1:1.9.2-2
lzo 2.10-3
m4 1.4.18-3
mailcap 2.1.49-1
make 4.3-3
man-db 2.9.1-2
md4c 0.4.3-1
mesa 20.0.7-3
minecraft-launcher 2.1.13509-1
minizip 1:1.2.11-4
mkinitcpio 27-3
mkinitcpio-busybox 1.31.1-1
mobile-broadband-provider-info 20190618-2
mozilla-common 1.4-6
mpfr 4.0.2-2
mpg123 1.25.13-2
mpv 1:0.32.0-4
mtdev 1.1.6-1
mtools 4.0.24-1
mujs 1.0.7-1
nasm 2.14.02-2
ncurses 6.2-1
nettle 3.6-1
networkmanager 1.24.0-1
nmap 7.80-2
noto-fonts 20190926-4
noto-fonts-cjk 20190409-2
noto-fonts-emoji 20191016-6
npth 1.6-2
nspr 4.25-1
nss 3.52.1-2
ocl-icd 2.2.12-4
openal 1.20.1-2
opencore-amr 0.1.5-4
openexr 2.5.1-1
openjpeg2 2.3.1-2
openmpi 4.0.3-1
openssh 8.2p1-3
openssl 1.1.1.g-1
openvpn 2.4.9-2
opera-ffmpeg-codecs 81.0.4044.138-1
opus 1.3.1-2
orc 0.4.31-2
p11-kit 0.23.20-5
p7zip 16.02-6
pacman 5.2.1-5
pacman-mirrorlist 20200411-1
pam 1.3.1-2
pambase 20190105.1-2
pango 1:1.44.7+11+g73b46b04-1
patch 2.7.6-8
pciutils 3.6.4-1
pcre 8.44-1
pcre2 10.35-1
perl 5.30.2-1
perl-error 0.17029-1
perl-file-which 1.23-3
perl-mailtools 2.21-3
perl-timedate 2.33-1
pinentry 1.1.0-5
pixman 0.40.0-1
pkcs11-helper 1.26.0-1
